Key,ES,EN,PT,DE,FR,IT
MENU_PLAY,Jugar,Play,Jogar,Spielen,Jouer,Gioca
MENU_CREATE_SESSION,Crear partida,Create Game,Criar partida,Spiel erstellen,Créer une partie,Crea partita
MENU_FIND_SESSIONS,Buscar partidas,Find Games,Procurar partidas,Spiele suchen,Rechercher des parties,Cerca partite
MENU_JOIN_BY_CODE,Unirse con código,Join with Code,Entrar com código,Mit Code beitreten,Rejoindre avec un code,Entra con codice
MENU_SETTINGS,Configuración,Settings,Configurações,Einstellungen,Paramètres,Impostazioni
MENU_QUIT,Salir,Quit,Sair,Beenden,Quitter,Esci
MENU_BACK,Volver,Back,Voltar,Zurück,Retour,Indietro
MENU_CANCEL,Cancelar,Cancel,Cancelar,Abbrechen,Annuler,Annulla
MENU_CONFIRM,Confirmar,Confirm,Confirmar,Bestätigen,Confirmer,Conferma
MENU_CODE_COPIED,Código: {0} (copiado al portapapeles),Code: {0} (copied to clipboard),Código: {0} (copiado),Code: {0} (kopiert),Code : {0} (copié),Codice: {0} (copiato)
CREATE_SESSION_TITLE,Crear partida,Create Game,Criar partida,Spiel erstellen,Créer une partie,Crea partita
CREATE_SESSION_NAME,Nombre de la sala,Room Name,Nome da sala,Raumname,Nom du salon,Nome stanza
CREATE_SESSION_PRIVATE,Sala privada,Private Room,Sala privada,Privater Raum,Salon privé,Stanza privata
CREATE_SESSION_PASSWORD,Contraseña,Password,Senha,Passwort,Mot de passe,Password
CREATE_SESSION_MAX_PLAYERS,Jugadores máximos,Max Players,Jogadores máximos,Max. Spieler,Joueurs max,Giocatori max
CREATE_SESSION_START,Crear,Create,Criar,Erstellen,Créer,Crea
FIND_SESSIONS_TITLE,Partidas disponibles,Available Games,Partidas disponíveis,Verfügbare Spiele,Parties disponibles,Partite disponibili
FIND_SESSIONS_REFRESH,Actualizar,Refresh,Atualizar,Aktualisieren,Actualiser,Aggiorna
FIND_SESSIONS_EMPTY,No se encontraron partidas,No games found,Nenhuma partida encontrada,Keine Spiele gefunden,Aucune partie trouvée,Nessuna partita trovata
FIND_SESSIONS_SEARCHING,Buscando...,Searching...,Procurando...,Suche...,Recherche...,Ricerca...
SESSION_JOIN,UNIRSE,JOIN,ENTRAR,BEITRETEN,REJOINDRE,ENTRA
SESSION_FULL,LLENA,FULL,CHEIA,VOLL,COMPLET,PIENA
ENTER_CODE_TITLE,Ingresá el código,Enter the Code,Digite o código,Code eingeben,Entrez le code,Inserisci il codice
ENTER_CODE_PLACEHOLDER,Código de sala,Room Code,Código da sala,Raumcode,Code du salon,Codice stanza
ENTER_CODE_JOIN,Unirse,Join,Entrar,Beitreten,Rejoindre,Entra
SETTINGS_TITLE,Configuración,Settings,Configurações,Einstellungen,Paramètres,Impostazioni
SETTINGS_VOLUME,Volumen,Volume,Volume,Lautstärke,Volume,Volume
SETTINGS_LANGUAGE,Idioma,Language,Idioma,Sprache,Langue,Lingua
SETTINGS_GRAPHICS,Calidad gráfica,Graphics Quality,Qualidade gráfica,Grafikqualität,Qualité graphique,Qualità grafica
SETTINGS_VSYNC,Sincronización vertical,VSync,Sincronização vertical,VSync,VSync,VSync
SETTINGS_FULLSCREEN,Pantalla completa,Fullscreen,Tela cheia,Vollbild,Plein écran,Schermo intero
SETTINGS_APPLY,Aplicar,Apply,Aplicar,Anwenden,Appliquer,Applica
SETTINGS_CLOSE,Cerrar,Close,Fechar,Schließen,Fermer,Chiudi
SETTINGS_LOW,Baja,Low,Baixa,Niedrig,Basse,Bassa
SETTINGS_MEDIUM,Media,Medium,Média,Mittel,Moyenne,Media
SETTINGS_HIGH,Alta,High,Alta,Hoch,Élevée,Alta
SETTINGS_EPIC,Épica,Epic,Épica,Episch,Épique,Epica
SETTINGS_LANG_MENU_ONLY,El idioma se cambia desde el menú principal,Language can only be changed from the main menu,O idioma é alterado no menu principal,Die Sprache wird im Hauptmenü geändert,La langue se change depuis le menu principal,La lingua si cambia dal menu principale
LOBBY_TITLE,Sala de espera,Lobby,Sala de espera,Lobby,Salon,Lobby
LOBBY_PLAYERS,Jugadores,Players,Jogadores,Spieler,Joueurs,Giocatori
LOBBY_HOST,Anfitrión,Host,Anfitrião,Gastgeber,Hôte,Host
LOBBY_READY,Listo,Ready,Pronto,Bereit,Prêt,Pronto
LOBBY_WAITING,Esperando,Waiting,Aguardando,Wartet,En attente,In attesa
LOBBY_BTN_READY,Listo,Ready,Pronto,Bereit,Prêt,Pronto
LOBBY_BTN_NOT_READY,No listo,Not Ready,Não pronto,Nicht bereit,Pas prêt,Non pronto
LOBBY_STARTING,Arrancando...,Starting...,Começando...,Startet...,Démarrage...,Avvio...
LOBBY_IN_GAME,En partida,In game,Em jogo,Im Spiel,En partie,In gioco
LOBBY_WAITING_PLAYERS,Esperando jugadores...,Waiting for players...,Aguardando jogadores...,Warte auf Spieler...,En attente de joueurs...,In attesa di giocatori...
LOBBY_STARTS_IN,Arranca en {0}...,Starts in {0}...,Começa em {0}...,Beginnt in {0}...,Commence dans {0}...,Inizia tra {0}...
LOBBY_START_GAME,Empezar partida,Start Game,Começar partida,Spiel starten,Démarrer la partie,Avvia partita
LOBBY_GAME_SETTINGS,Opciones de partida,Game Settings,Opções da partida,Spieloptionen,Options de partie,Opzioni partita
LOBBY_ROOM_CODE,Código de sala,Room Code,Código da sala,Raumcode,Code du salon,Codice stanza
LOBBY_LEAVE,Salir de la sala,Leave Room,Sair da sala,Raum verlassen,Quitter le salon,Esci dalla stanza
LOBBY_CUSTOMIZE_HEAD,G — Esculpir tu cabeza,G — Sculpt Your Head,G — Esculpir sua cabeça,G — Kopf formen,G — Sculpter votre tête,G — Scolpisci la testa
LOBBY_TURN_TIME,Tiempo por turno,Turn Time,Tempo por turno,Zugzeit,Temps par tour,Tempo per turno
LOBBY_ROUNDS,Rondas,Rounds,Rodadas,Runden,Manches,Round
LOBBY_REVEAL,Letras reveladas,Revealed Letters,Letras reveladas,Aufgedeckte Buchstaben,Lettres révélées,Lettere rivelate
LOBBY_DIFFICULTY,Dificultad,Difficulty,Dificuldade,Schwierigkeit,Difficulté,Difficoltà
LOBBY_DIFF_EASY,Fácil,Easy,Fácil,Leicht,Facile,Facile
LOBBY_DIFF_MEDIUM,Media,Medium,Média,Mittel,Moyenne,Media
LOBBY_DIFF_HARD,Difícil,Hard,Difícil,Schwer,Difficile,Difficile
LOBBY_CATEGORIES,Categorías,Categories,Categorias,Kategorien,Catégories,Categorie
LOBBY_LOAD_CSV,Cargar CSV propio,Load Custom CSV,Carregar CSV próprio,Eigene CSV laden,Charger un CSV,Carica CSV
LOBBY_CSV_DEFAULT,Banco default,Default Word Bank,Banco padrão,Standard-Wortbank,Banque par défaut,Banca predefinita
LOBBY_CSV_CUSTOM,CSV propio: {0} palabras,Custom CSV: {0} words,CSV próprio: {0} palavras,Eigene CSV: {0} Wörter,CSV : {0} mots,CSV: {0} parole
HUD_ROUND,Ronda,Round,Rodada,Runde,Manche,Round
HUD_SECONDS_SHORT,seg,sec,seg,Sek,s,sec
HUD_WAITING_PLAYERS,Esperando jugadores...,Waiting for players...,Aguardando jogadores...,Warte auf Spieler...,En attente de joueurs...,In attesa di giocatori...
HUD_RESULTS,Resultados,Results,Resultados,Ergebnisse,Résultats,Risultati
HUD_CHOOSE_WORD,Elegí una palabra,Choose a word,Escolha uma palavra,Wähle ein Wort,Choisis un mot,Scegli una parola
HUD_YOUR_TURN,¡Te toca esculpir!,Your turn to sculpt!,Sua vez de esculpir!,Du bist dran!,À toi de sculpter !,Tocca a te scolpire!
HUD_SCORE,Puntos,Score,Pontos,Punkte,Score,Punti
HUD_PLAY_AGAIN,Jugar de nuevo,Play Again,Jogar de novo,Nochmal spielen,Rejouer,Gioca ancora
HUD_RETURN_LOBBY,Volver a la sala,Return to Lobby,Voltar à sala,Zurück zur Lobby,Retour au salon,Torna alla lobby
HUD_CHAT_PLACEHOLDER,Escribí tu respuesta...,Type your guess...,Digite seu palpite...,Tippe deine Antwort...,Écris ta réponse...,Scrivi la tua risposta...
