Name,ES,EN,PT,DE,FR,IT
1,ABEJA,BEE,ABELHA,BIENE,ABEILLE,APE
2,ÁGUILA,EAGLE,AGUIA,ADLER,AIGLE,AQUILA
3,ALCE,MOOSE,ALCE,ELCH,ORIGNAL,ALCE
4,ALMEJA,CLAM,AMEIJOA,MUSCHEL,PALOURDE,VONGOLA
5,ALPACA,ALPACA,ALPACA,ALPAKA,ALPAGA,ALPACA
6,ANGUILA,EEL,ENGUIA,AAL,ANGUILLE,ANGUILLA
7,ARAÑA,SPIDER,ARANHA,SPINNE,ARAIGNÉE,RAGNO
8,ARDILLA,SQUIRREL,ESQUILO,EICHHÖRNCHEN,ÉCUREUIL,SCOIATTOLO
9,ARMADILLO,ARMADILLO,TATU,GÜRTELTIER,TATOU,ARMADILLO
10,ATÚN,TUNA,ATUM,THUNFISCH,THON,TONNO
11,AVESTRUZ,OSTRICH,AVESTRUZ,STRAUSS,AUTRUCHE,STRUZZO
12,AVISPA,WASP,VESPA,WESPE,GUÊPE,VESPA
13,BACALAO,COD,BACALHAU,KABELJAU,MORUE,MERLUZZO
14,BALLENA,WHALE,BALEIA,WAL,BALEINE,BALENA
15,BÚHO,OWL,CORUJA,EULE,HIBOU,GUFO
16,BUITRE,VULTURE,ABUTRE,GEIER,VAUTOUR,AVVOLTOIO
17,CABALLITO DE MAR,SEAHORSE,CAVALO MARINHO,SEEPFERDCHEN,HIPPOCAMPE,CAVALLUCCIO MARINO
18,CABALLO,HORSE,CAVALO,PFERD,CHEVAL,CAVALLO
19,CABRA,GOAT,CABRA,ZIEGE,CHÈVRE,CAPRA
20,CAIMÁN,ALLIGATOR,JACARE,ALLIGATOR,ALLIGATOR,ALLIGATORE
21,CALAMAR,SQUID,LULA,TINTENFISCH,CALMAR,CALAMARO
22,CAMALEÓN,CHAMELEON,CAMALEAO,CHAMÄLEON,CAMÉLÉON,CAMALEONTE
23,CAMARÓN,SHRIMP,CAMARAO,GARNELE,CREVETTE,GAMBERETTO
24,CAMELLO,CAMEL,CAMELO,KAMEL,CHAMEAU,CAMMELLO
25,CANARIO,CANARY,CANARIO,KANARIENVOGEL,CANARI,CANARINO
26,CANGREJO,CRAB,CARANGUEJO,KRABBE,CRABE,GRANCHIO
27,CANGURO,KANGAROO,CANGURU,KÄNGURU,KANGOUROU,CANGURO
28,CARACOL,SNAIL,CARACOL,SCHNECKE,ESCARGOT,LUMACA
29,CASTOR,BEAVER,CASTOR,BIBER,CASTOR,CASTORO
30,CEBRA,ZEBRA,ZEBRA,ZEBRA,ZÈBRE,ZEBRA
31,CERDO,PIG,PORCO,SCHWEIN,COCHON,MAIALE
32,CHACAL,JACKAL,CHACAL,SCHAKAL,CHACAL,SCIACALLO
33,CHIMPANCÉ,CHIMPANZEE,CHIMPANZE,SCHIMPANSE,CHIMPANZÉ,SCIMPANZÉ
34,CHINCHE,BEDBUG,PERCEVEJO,BETTWANZE,PUNAISE,CIMICE
35,CIEMPIÉS,CENTIPEDE,CENTOPEIA,TAUSENDFÜSSLER,MILLE-PATTES,MILLEPIEDI
36,CIERVO,DEER,VEADO,HIRSCH,CERF,CERVO
37,CIGARRA,CICADA,CIGARRA,ZIKADE,CIGALE,CICALA
38,CIGÜEÑA,STORK,CEGONHA,STORCH,CIGOGNE,CICOGNA
39,CISNE,SWAN,CISNE,SCHWAN,CYGNE,CIGNO
40,COBRA,COBRA,COBRA,KOBRA,COBRA,COBRA
41,COCODRILO,CROCODILE,CROCODILO,KROKODIL,CROCODILE,COCCODRILLO
42,CODORNIZ,QUAIL,CODORNA,WACHTEL,CAILLE,QUAGLIA
43,COLIBRÍ,HUMMINGBIRD,BEIJA FLOR,KOLIBRI,COLIBRI,COLIBRÌ
44,CÓNDOR,CONDOR,CONDOR,KONDOR,CONDOR,CONDOR
45,CONEJO,RABBIT,COELHO,KANINCHEN,LAPIN,CONIGLIO
46,CUCARACHA,COCKROACH,BARATA,KAKERLAKE,CAFARD,SCARAFAGGIO
47,CUERVO,CROW,CORVO,KRÄHE,CORBEAU,CORVO
48,DELFÍN,DOLPHIN,GOLFINHO,DELFIN,DAUPHIN,DELFINO
49,ELEFANTE,ELEPHANT,ELEFANTE,ELEFANT,ÉLÉPHANT,ELEFANTE
50,EMÚ,EMU,EMU,EMU,ÉMEU,EMU
51,ERIZO,HEDGEHOG,OURICO,IGEL,HÉRISSON,RICCIO
52,ERIZO DE MAR,SEA URCHIN,OURICO DO MAR,SEEIGEL,OURSIN,RICCIO DI MARE
53,ESCARABAJO,BEETLE,BESOURO,KÄFER,SCARABÉE,SCARABEO
54,ESCORPIÓN,SCORPION,ESCORPIAO,SKORPION,SCORPION,SCORPIONE
55,ESTRELLA DE MAR,STARFISH,ESTRELA DO MAR,SEESTERN,ÉTOILE DE MER,STELLA MARINA
56,FAISÁN,PHEASANT,FAISAO,FASAN,FAISAN,FAGIANO
57,FLAMENCO,FLAMINGO,FLAMINGO,FLAMINGO,FLAMANT,FENICOTTERO
58,FOCA,SEAL,FOCA,ROBBE,PHOQUE,FOCA
59,GALLINA,HEN,GALINHA,HENNE,POULE,GALLINA
60,GALLO,ROOSTER,GALO,HAHN,COQ,GALLO
61,GANSO,GOOSE,GANSO,GANS,OIE,OCA
62,GARRAPATA,TICK,CARRAPATO,ZECKE,TIQUE,ZECCA
63,GATO,CAT,GATO,KATZE,CHAT,GATTO
64,GATO MONTÉS,WILDCAT,GATO DO MATO,WILDKATZE,CHAT SAUVAGE,GATTO SELVATICO
65,GAVILÁN,SPARROWHAWK,GAVIAO,SPERBER,ÉPERVIER,SPARVIERO
66,GAVIOTA,SEAGULL,GAIVOTA,MÖWE,MOUETTE,GABBIANO
67,GORILA,GORILLA,GORILA,GORILLA,GORILLE,GORILLA
68,GORRIÓN,SPARROW,PARDAL,SPATZ,MOINEAU,PASSERO
69,GRILLO,CRICKET,GRILO,GRILLE,GRILLON,GRILLO
70,GUACAMAYO,MACAW,ARARA,ARA,ARA,ARA
71,GUEPARDO,CHEETAH,GUEPARDO,GEPARD,GUÉPARD,GHEPARDO
72,HALCÓN,FALCON,FALCAO,FALKE,FAUCON,FALCO
73,HIENA,HYENA,HIENA,HYÄNE,HYÈNE,IENA
74,HIPOPÓTAMO,HIPPO,HIPOPOTAMO,NILPFERD,HIPPOPOTAME,IPPOPOTAMO
75,HORMIGA,ANT,FORMIGA,AMEISE,FOURMI,FORMICA
76,IGUANA,IGUANA,IGUANA,LEGUAN,IGUANE,IGUANA
77,JAGUAR,JAGUAR,ONCA,JAGUAR,JAGUAR,GIAGUARO
78,JIRAFA,GIRAFFE,GIRAFA,GIRAFFE,GIRAFE,GIRAFFA
79,KIWI,KIWI,KIWI,KIWI,KIWI,KIWI
80,KOALA,KOALA,COALA,KOALA,KOALA,KOALA
81,LAGARTO,LIZARD,LAGARTO,EIDECHSE,LÉZARD,LUCERTOLA
82,LANGOSTA,LOBSTER,LAGOSTA,HUMMER,HOMARD,ARAGOSTA
83,LECHUZA,BARN OWL,CORUJA DAS TORRES,SCHLEIEREULE,CHOUETTE,BARBAGIANNI
84,LEÓN,LION,LEAO,LÖWE,LION,LEONE
85,LEÓN MARINO,SEA LION,LEAO MARINHO,SEELÖWE,OTARIE,LEONE MARINO
86,LEOPARDO,LEOPARD,LEOPARDO,LEOPARD,LÉOPARD,LEOPARDO
87,LIBÉLULA,DRAGONFLY,LIBELULA,LIBELLE,LIBELLULE,LIBELLULA
88,LINCE,LYNX,LINCE,LUCHS,LYNX,LINCE
89,LLAMA,LLAMA,LHAMA,LAMA,LAMA,LAMA
90,LOBO,WOLF,LOBO,WOLF,LOUP,LUPO
91,LOBO MARINO,FUR SEAL,LOBO MARINHO,SEEBÄR,OTARIE À FOURRURE,OTARIA
92,LORO,PARROT,PAPAGAIO,PAPAGEI,PERROQUET,PAPPAGALLO
93,LUCIÉRNAGA,FIREFLY,VAGALUME,GLÜHWÜRMCHEN,LUCIOLE,LUCCIOLA
94,MANATÍ,MANATEE,PEIXE BOI,SEEKUH,LAMANTIN,LAMANTINO
95,MAPACHE,RACCOON,GUAXINIM,WASCHBÄR,RATON LAVEUR,PROCIONE
96,MARIPOSA,BUTTERFLY,BORBOLETA,SCHMETTERLING,PAPILLON,FARFALLA
97,MARIQUITA,LADYBUG,JOANINHA,MARIENKÄFER,COCCINELLE,COCCINELLA
98,MEDUSA,JELLYFISH,AGUA VIVA,QUALLE,MÉDUSE,MEDUSA
99,MEJILLÓN,MUSSEL,MEXILHAO,MIESMUSCHEL,MOULE,COZZA
100,MILPIÉS,MILLIPEDE,EMBUA,TAUSENDFÜSSER,MILLE-PATTES,MILLEPIEDI
101,MOFETA,SKUNK,GAMBA,STINKTIER,MOUFETTE,PUZZOLA
102,MONO,MONKEY,MACACO,AFFE,SINGE,SCIMMIA
103,MORSA,WALRUS,MORSA,WALROSS,MORSE,TRICHECO
104,MOSCA,FLY,MOSCA,FLIEGE,MOUCHE,MOSCA
105,MOSQUITO,MOSQUITO,MOSQUITO,MÜCKE,MOUSTIQUE,ZANZARA
106,MURCIÉLAGO,BAT,MORCEGO,FLEDERMAUS,CHAUVE-SOURIS,PIPISTRELLO
107,NARVAL,NARWHAL,NARVAL,NARWAL,NARVAL,NARVALO
108,NUTRIA,OTTER,LONTRA,OTTER,LOUTRE,LONTRA
109,ORCA,ORCA,ORCA,ORCA,ORQUE,ORCA
110,OSO,BEAR,URSO,BÄR,OURS,ORSO
111,OSO HORMIGUERO,ANTEATER,TAMANDUA,AMEISENBÄR,FOURMILIER,FORMICHIERE
112,OSO POLAR,POLAR BEAR,URSO POLAR,EISBÄR,OURS POLAIRE,ORSO POLARE
113,OSTRA,OYSTER,OSTRA,AUSTER,HUÎTRE,OSTRICA
114,OVEJA,SHEEP,OVELHA,SCHAF,MOUTON,PECORA
115,PALOMA,PIGEON,POMBA,TAUBE,PIGEON,COLOMBA
116,PANDA,PANDA,PANDA,PANDA,PANDA,PANDA
117,PATO,DUCK,PATO,ENTE,CANARD,ANATRA
118,PAVO,TURKEY,PERU,TRUTHAHN,DINDE,TACCHINO
119,PAVO REAL,PEACOCK,PAVAO,PFAU,PAON,PAVONE
120,PELÍCANO,PELICAN,PELICANO,PELIKAN,PÉLICAN,PELLICANO
121,PEREZOSO,SLOTH,PREGUICA,FAULTIER,PARESSEUX,BRADIPO
122,PERICO,PARAKEET,PERIQUITO,SITTICH,PERRUCHE,PARROCCHETTO
123,PERIQUITO,BUDGIE,PERIQUITO AUSTRALIANO,WELLENSITTICH,PERRUCHE,COCORITA
124,PERRO,DOG,CACHORRO,HUND,CHIEN,CANE
125,PERRO SALCHICHA,DACHSHUND,BASSET,DACKEL,TECKEL,BASSOTTO
126,PEZ,FISH,PEIXE,FISCH,POISSON,PESCE
127,PEZ ESPADA,SWORDFISH,PEIXE ESPADA,SCHWERTFISCH,ESPADON,PESCE SPADA
128,PEZ GLOBO,PUFFERFISH,BAIACU,KUGELFISCH,POISSON-GLOBE,PESCE PALLA
129,PEZ PAYASO,CLOWNFISH,PEIXE PALHACO,CLOWNFISCH,POISSON-CLOWN,PESCE PAGLIACCIO
130,PINGÜINO,PENGUIN,PINGUIM,PINGUIN,PINGOUIN,PINGUINO
131,PIRAÑA,PIRANHA,PIRANHA,PIRANHA,PIRANHA,PIRANHA
132,POLILLA,MOTH,MARIPOSA,MOTTE,PAPILLON DE NUIT,FALENA
133,PULGA,FLEA,PULGA,FLOH,PUCE,PULCE
134,PULPO,OCTOPUS,POLVO,KRAKE,PIEUVRE,POLPO
135,PUMA,COUGAR,PUMA,PUMA,COUGAR,PUMA
136,RANA,FROG,SAPO,FROSCH,GRENOUILLE,RANA
137,RATA,RAT,RATAZANA,RATTE,RAT,RATTO
138,RATÓN,MOUSE,RATO,MAUS,SOURIS,TOPO
139,RAYA,STINGRAY,RAIA,STACHELROCHEN,RAIE,RAZZA
140,RENO,REINDEER,RENA,RENTIER,RENNE,RENNA
141,RINOCERONTE,RHINO,RINOCERONTE,NASHORN,RHINOCÉROS,RINOCERONTE
142,SALAMANDRA,SALAMANDER,SALAMANDRA,SALAMANDER,SALAMANDRE,SALAMANDRA
143,SALMÓN,SALMON,SALMAO,LACHS,SAUMON,SALMONE
144,SALTAMONTES,GRASSHOPPER,GAFANHOTO,HEUSCHRECKE,SAUTERELLE,CAVALLETTA
145,SAPO,TOAD,SAPO CURURU,KRÖTE,CRAPAUD,ROSPO
146,SERPIENTE,SNAKE,SERPENTE,SCHLANGE,SERPENT,SERPENTE
147,TIBURÓN,SHARK,TUBARAO,HAI,REQUIN,SQUALO
148,TIBURÓN MARTILLO,HAMMERHEAD SHARK,TUBARAO MARTELO,HAMMERHAI,REQUIN-MARTEAU,SQUALO MARTELLO
149,TIGRE,TIGER,TIGRE,TIGER,TIGRE,TIGRE
150,TOPO,MOLE,TOUPEIRA,MAULWURF,TAUPE,TALPA
151,TORO,BULL,TOURO,STIER,TAUREAU,TORO
152,TORTUGA,TURTLE,TARTARUGA,SCHILDKRÖTE,TORTUE,TARTARUGA
153,TRUCHA,TROUT,TRUTA,FORELLE,TRUITE,TROTA
154,TUCÁN,TOUCAN,TUCANO,TUKAN,TOUCAN,TUCANO
155,VACA,COW,VACA,KUH,VACHE,MUCCA
156,VÍBORA,VIPER,VIBORA,VIPER,VIPÈRE,VIPERA
157,ZORRO,FOX,RAPOSA,FUCHS,RENARD,VOLPE
158,ACEITE,OIL,OLEO,ÖL,HUILE,OLIO
159,AJO,GARLIC,ALHO,KNOBLAUCH,AIL,AGLIO
160,ALMENDRA,ALMOND,AMENDOA,MANDEL,AMANDE,MANDORLA
161,ASADO,BARBECUE,CHURRASCO,GRILLFLEISCH,GRILLADE,GRIGLIATA
162,AZÚCAR,SUGAR,ACUCAR,ZUCKER,SUCRE,ZUCCHERO
163,BANANA,BANANA,BANANA,BANANE,BANANE,BANANA
164,BERENJENA,EGGPLANT,BERINJELA,AUBERGINE,AUBERGINE,MELANZANA
165,BRÓCOLI,BROCCOLI,BROCOLIS,BROKKOLI,BROCOLI,BROCCOLI
166,BURRITO,BURRITO,BURRITO,BURRITO,BURRITO,BURRITO
167,CAFÉ,COFFEE,CAFE,KAFFEE,CAFÉ,CAFFÈ
168,CALABAZA,PUMPKIN,ABOBORA,KÜRBIS,CITROUILLE,ZUCCA
169,CARAMELO,CANDY,BALA,BONBON,BONBON,CARAMELLA
170,CASTAÑA,CHESTNUT,CASTANHA,KASTANIE,CHÂTAIGNE,CASTAGNA
171,CEBOLLA,ONION,CEBOLA,ZWIEBEL,OIGNON,CIPOLLA
172,CEREZA,CHERRY,CEREJA,KIRSCHE,CERISE,CILIEGIA
173,CERVEZA,BEER,CERVEJA,BIER,BIÈRE,BIRRA
174,CHOCLO,CORN COB,ESPIGA DE MILHO,MAISKOLBEN,ÉPI DE MAÏS,PANNOCCHIA
175,CHOCOLATE,CHOCOLATE,CHOCOLATE,SCHOKOLADE,CHOCOLAT,CIOCCOLATO
176,CHORIZO,SAUSAGE,LINGUICA,WURST,SAUCISSE,SALSICCIA
177,COCO,COCONUT,COCO,KOKOSNUSS,NOIX DE COCO,COCCO
178,CROISSANT,CROISSANT,CROISSANT,CROISSANT,CROISSANT,CROISSANT
179,DONA,DONUT,ROSQUINHA,DONUT,BEIGNET,CIAMBELLA
180,DURAZNO,PEACH,PESSEGO,PFIRSICH,PÊCHE,PESCA
181,EMPANADA,EMPANADA,PASTEL,TEIGTASCHE,CHAUSSON,FAGOTTINO
182,ENSALADA,SALAD,SALADA,SALAT,SALADE,INSALATA
183,FIDEOS,NOODLES,MACARRAO,NUDELN,NOUILLES,NOODLES
184,FRESA,STRAWBERRY,MORANGO,ERDBEERE,FRAISE,FRAGOLA
185,GALLETA,COOKIE,BISCOITO,KEKS,BISCUIT,BISCOTTO
186,GUACAMOLE,GUACAMOLE,GUACAMOLE,GUACAMOLE,GUACAMOLE,GUACAMOLE
187,HAMBURGUESA,BURGER,HAMBURGUER,HAMBURGER,HAMBURGER,HAMBURGER
188,HELADO,ICE CREAM,SORVETE,EIS,GLACE,GELATO
189,HUEVO,EGG,OVO,EI,ŒUF,UOVO
190,HUMMUS,HUMMUS,HOMUS,HUMMUS,HOUMOUS,HUMMUS
191,JAMÓN,HAM,PRESUNTO,SCHINKEN,JAMBON,PROSCIUTTO
192,JUGO,JUICE,SUCO,SAFT,JUS,SUCCO
193,KETCHUP,KETCHUP,KETCHUP,KETCHUP,KETCHUP,KETCHUP
194,LASAÑA,LASAGNA,LASANHA,LASAGNE,LASAGNE,LASAGNA
195,LECHE,MILK,LEITE,MILCH,LAIT,LATTE
196,LECHUGA,LETTUCE,ALFACE,KOPFSALAT,LAITUE,LATTUGA
197,LIMÓN,LEMON,LIMAO,ZITRONE,CITRON,LIMONE
198,MANGO,MANGO,MANGA,MANGO,MANGUE,MANGO
