ES,EN,PT,DE,FR,IT
Alien,Alien,Alien,Alien,Alien,Alien
Amadeus,Amadeus,Amadeus,Amadeus,Amadeus,Amadeus
Amélie,Amélie,Amélie,Amélie,Amélie,Amélie
American Pie,American Pie,American Pie,American Pie,American Pie,American Pie
Amores perros,Amores Perros,Amores Brutos,Amores perros,Amours chiennes,Amores perros
Anastasia,Anastasia,Anastasia,Anastasia,Anastasia,Anastasia
Ant-Man,Ant-Man,Homem-Formiga,Ant-Man,Ant-Man,Ant-Man
Apolo 13,Apollo 13,Apollo 13,Apollo 13,Apollo 13,Apollo 13
Aquaman,Aquaman,Aquaman,Aquaman,Aquaman,Aquaman
Armageddon,Armageddon,Armageddon,Armageddon,Armageddon,Armageddon
Arma Mortal,Lethal Weapon,Máquina Mortífera,Lethal Weapon,L'Arme fatale,Arma letale
Avengers,Avengers,Vingadores,Avengers,Avengers,Avengers
Bajo La Misma Estrella,The Fault in Our Stars,A Culpa é das Estrelas,Das Schicksal ist ein mieser Verräter,Nos étoiles contraires,Colpa delle stelle
Bambi,Bambi,Bambi,Bambi,Bambi,Bambi
Barbie,Barbie,Barbie,Barbie,Barbie,Barbie
Bastardos sin gloria,Inglourious Basterds,Bastardos Inglórios,Inglourious Basterds,Inglourious Basterds,Bastardi senza gloria
Batman,Batman,Batman,Batman,Batman,Batman
Beetlejuice,Beetlejuice,Os Fantasmas se Divertem,Beetlejuice,Beetlejuice,Beetlejuice
Belleza Americana,American Beauty,Beleza Americana,American Beauty,American Beauty,American Beauty
Ben-Hur,Ben-Hur,Ben-Hur,Ben Hur,Ben-Hur,Ben-Hur
Bichos,A Bug's Life,Vida de Inseto,Das große Krabbeln,1001 Pattes,A Bug's Life
Birdman,Birdman,Birdman,Birdman,Birdman,Birdman
Blade Runner,Blade Runner,Blade Runner,Der Blade Runner,Blade Runner,Blade Runner
Blancanieves,Snow White,Branca de Neve,Schneewittchen,Blanche-Neige,Biancaneve
Bohemian Rhapsody,Bohemian Rhapsody,Bohemian Rhapsody,Bohemian Rhapsody,Bohemian Rhapsody,Bohemian Rhapsody
Buenos Muchachos,GoodFellas,Os Bons Companheiros,GoodFellas,Les Affranchis,Quei bravi ragazzi
Buscando a Nemo,Finding Nemo,Procurando Nemo,Findet Nemo,Le Monde de Nemo,Alla ricerca di Nemo
Búsqueda implacable,Taken,Busca Implacável,96 Hours,Taken,Taken
Cantando bajo la lluvia,Singin' in the Rain,Cantando na Chuva,Du sollst mein Glücksstern sein,Chantons sous la pluie,Cantando sotto la pioggia
Capitana Marvel,Captain Marvel,Capitã Marvel,Captain Marvel,Captain Marvel,Captain Marvel
Capitán América,Captain America,Capitão América,Captain America,Captain America,Captain America
Caracortada,Scarface,Scarface,Scarface,Scarface,Scarface
Carrie,Carrie,Carrie,Carrie,Carrie,Carrie
Cars,Cars,Carros,Cars,Cars,Cars
Casablanca,Casablanca,Casablanca,Casablanca,Casablanca,Casablanca
Casino Royale,Casino Royale,Cassino Royale,Casino Royale,Casino Royale,Casino Royale
Casper,Casper,Gasparzinho,Casper,Casper,Casper
Chicago,Chicago,Chicago,Chicago,Chicago,Chicago
Chicas Pesadas,Mean Girls,Meninas Malvadas,Girls Club,Lolita malgré moi,Mean Girls
Cincuenta Sombras de Grey,Fifty Shades of Grey,Cinquenta Tons de Cinza,Fifty Shades of Grey,Cinquante Nuances de Grey,Cinquanta sfumature di grigio
Cinema Paradiso,Cinema Paradiso,Cinema Paradiso,Cinema Paradiso,Cinema Paradiso,Nuovo Cinema Paradiso
Ciudad de Dios,City of God,Cidade de Deus,City of God,La Cité de Dieu,City of God
Click,Click,Click,Klick,Click,Cambia la tua vita con un click
Coco,Coco,Viva,Coco,Coco,Coco
Coraline,Coraline,Coraline,Coraline,Coraline,Coraline
Corazón Valiente,Braveheart,Coração Valente,Braveheart,Braveheart,Braveheart
Crepúsculo,Twilight,Crepúsculo,Twilight,Twilight,Twilight
Cruella,Cruella,Cruella,Cruella,Cruella,Crudelia
Destino Final,Final Destination,Premonição,Final Destination,Destination finale,Final Destination
Diamante de Sangre,Blood Diamond,Diamante de Sangue,Blood Diamond,Blood Diamond,Blood Diamond
Diario de una pasión,The Notebook,Diário de uma Paixão,Wie ein einziger Tag,N'oublie jamais,Le pagine della nostra vita
Divergente,Divergent,Divergente,Die Bestimmung,Divergente,Divergent
Django sin Cadenas,Django Unchained,Django Livre,Django Unchained,Django Unchained,Django Unchained
Doctor Strange,Doctor Strange,Doutor Estranho,Doctor Strange,Doctor Strange,Doctor Strange
Donnie Darko,Donnie Darko,Donnie Darko,Donnie Darko,Donnie Darko,Donnie Darko
Drácula,Dracula,Drácula,Dracula,Dracula,Dracula
Drive,Drive,Drive,Drive,Drive,Drive
Dumbo,Dumbo,Dumbo,Dumbo,Dumbo,Dumbo
Duna,Dune,Duna,Dune,Dune,Dune
Dunkerque,Dunkirk,Dunkirk,Dunkirk,Dunkerque,Dunkirk
Duro de matar,Die Hard,Duro de Matar,Stirb langsam,Piège de cristal,Trappola di cristallo
El cisne negro,Black Swan,Cisne Negro,Black Swan,Black Swan,Il cigno nero
El Ciudadano Kane,Citizen Kane,Cidadão Kane,Citizen Kane,Citizen Kane,Quarto potere
El Código Da Vinci,The Da Vinci Code,O Código da Vinci,The Da Vinci Code,Da Vinci Code,Il codice da Vinci
El código enigma,The Imitation Game,O Jogo da Imitação,The Imitation Game,Imitation Game,The Imitation Game
El Conjuro,The Conjuring,Invocação do Mal,Conjuring,Conjuring,L'evocazione
El Cuervo,The Crow,O Corvo,The Crow,The Crow,Il corvo
El Discurso del Rey,The King's Speech,O Discurso do Rei,The King’s Speech,Le Discours d'un roi,Il discorso del re
Elementos,Elemental,Elementos,Elemental,Élémentaire,Elemental
El Exorcista,The Exorcist,O Exorcista,Der Exorzist,L'Exorciste,L'esorcista
Elf,Elf,Um Duende em Nova York,Buddy,Elfe,Elf
El fugitivo,The Fugitive,O Fugitivo,Auf der Flucht,Le Fugitif,Il fuggitivo
El Gran Dictador,The Great Dictator,O Grande Ditador,Der große Diktator,Le Dictateur,Il grande dittatore
El gran Gatsby,The Great Gatsby,O Grande Gatsby,Der große Gatsby,Gatsby le Magnifique,Il grande Gatsby
El Gran Hotel Budapest,The Grand Budapest Hotel,O Grande Hotel Budapeste,Grand Budapest Hotel,The Grand Budapest Hotel,Grand Budapest Hotel
El Gran Lebowski,The Big Lebowski,O Grande Lebowski,The Big Lebowski,The Big Lebowski,Il grande Lebowski
El gran Showman,The Greatest Showman,O Rei do Show,Greatest Showman,The Greatest Showman,The Greatest Showman
El Gran Truco,The Prestige,O Grande Truque,Prestige,Le Prestige,The Prestige
El Grinch,The Grinch,O Grinch,Der Grinch,Le Grinch,Il Grinch
El Guardaespaldas,The Bodyguard,O Guarda-Costas,Bodyguard,Bodyguard,Guardia del corpo
El hombre araña,Spider-Man,Homem-Aranha,Spider-Man,Spider-Man,Spider-Man
El hombre de acero,Man of Steel,O Homem de Aço,Man of Steel,Man of Steel,L'uomo d'acciaio
