Name,WordEs,WordEn,Category,Difficulty
1,ABEJA,BEE,ANIMALES,1
2,AGUILA,EAGLE,ANIMALES,1
3,ALCE,MOOSE,ANIMALES,2
4,ALMEJA,CLAM,ANIMALES,2
5,ALPACA,ALPACA,ANIMALES,3
6,ANGUILA,EEL,ANIMALES,2
7,ARANA,SPIDER,ANIMALES,1
8,ARDILLA,SQUIRREL,ANIMALES,2
9,ARMADILLO,ARMADILLO,ANIMALES,3
10,ATUN,TUNA,ANIMALES,2
11,AVESTRUZ,OSTRICH,ANIMALES,1
12,AVISPA,WASP,ANIMALES,2
13,BACALAO,COD,ANIMALES,3
14,BALLENA,WHALE,ANIMALES,1
15,BUHO,OWL,ANIMALES,1
16,BUITRE,VULTURE,ANIMALES,2
17,CABALLITO DE MAR,SEAHORSE,ANIMALES,1
18,CABALLO,HORSE,ANIMALES,1
19,CABRA,GOAT,ANIMALES,2
20,CAIMAN,ALLIGATOR,ANIMALES,2
21,CALAMAR,SQUID,ANIMALES,2
22,CAMALEON,CHAMELEON,ANIMALES,1
23,CAMARON,SHRIMP,ANIMALES,2
24,CAMELLO,CAMEL,ANIMALES,2
25,CANARIO,CANARY,ANIMALES,2
26,CANGREJO,CRAB,ANIMALES,1
27,CANGURO,KANGAROO,ANIMALES,1
28,CARACOL,SNAIL,ANIMALES,1
29,CASTOR,BEAVER,ANIMALES,2
30,CEBRA,ZEBRA,ANIMALES,2
31,CERDO,PIG,ANIMALES,1
32,CHACAL,JACKAL,ANIMALES,3
33,CHIMPANCE,CHIMPANZEE,ANIMALES,3
34,CHINCHE,BEDBUG,ANIMALES,3
35,CIEMPIES,CENTIPEDE,ANIMALES,2
36,CIERVO,DEER,ANIMALES,2
37,CIGARRA,CICADA,ANIMALES,3
38,CIGUENA,STORK,ANIMALES,2
39,CISNE,SWAN,ANIMALES,1
40,COBRA,COBRA,ANIMALES,2
41,COCODRILO,CROCODILE,ANIMALES,1
42,CODORNIZ,QUAIL,ANIMALES,3
43,COLIBRI,HUMMINGBIRD,ANIMALES,2
44,CONDOR,CONDOR,ANIMALES,2
45,CONEJO,RABBIT,ANIMALES,1
46,CUCARACHA,COCKROACH,ANIMALES,2
47,CUERVO,CROW,ANIMALES,2
48,DELFIN,DOLPHIN,ANIMALES,1
49,ELEFANTE,ELEPHANT,ANIMALES,1
50,EMU,EMU,ANIMALES,3
51,ERIZO,HEDGEHOG,ANIMALES,2
52,ERIZO DE MAR,SEA URCHIN,ANIMALES,2
53,ESCARABAJO,BEETLE,ANIMALES,2
54,ESCORPION,SCORPION,ANIMALES,2
55,ESTRELLA DE MAR,STARFISH,ANIMALES,1
56,FAISAN,PHEASANT,ANIMALES,3
57,FLAMENCO,FLAMINGO,ANIMALES,1
58,FOCA,SEAL,ANIMALES,1
59,GALLINA,HEN,ANIMALES,1
60,GALLO,ROOSTER,ANIMALES,1
61,GANSO,GOOSE,ANIMALES,2
62,GARRAPATA,TICK,ANIMALES,3
63,GATO,CAT,ANIMALES,1
64,GATO MONTES,WILDCAT,ANIMALES,3
65,GAVILAN,SPARROWHAWK,ANIMALES,3
66,GAVIOTA,SEAGULL,ANIMALES,1
67,GORILA,GORILLA,ANIMALES,2
68,GORRION,SPARROW,ANIMALES,2
69,GRILLO,CRICKET,ANIMALES,2
70,GUACAMAYO,MACAW,ANIMALES,2
71,GUEPARDO,CHEETAH,ANIMALES,2
72,HALCON,FALCON,ANIMALES,2
73,HIENA,HYENA,ANIMALES,2
74,HIPOPOTAMO,HIPPO,ANIMALES,2
75,HORMIGA,ANT,ANIMALES,1
76,IGUANA,IGUANA,ANIMALES,2
77,JAGUAR,JAGUAR,ANIMALES,2
78,JIRAFA,GIRAFFE,ANIMALES,1
79,KIWI,KIWI,ANIMALES,2
80,KOALA,KOALA,ANIMALES,1
81,LAGARTO,LIZARD,ANIMALES,2
82,LANGOSTA,LOBSTER,ANIMALES,2
83,LECHUZA,BARN OWL,ANIMALES,2
84,LEON,LION,ANIMALES,1
85,LEON MARINO,SEA LION,ANIMALES,2
86,LEOPARDO,LEOPARD,ANIMALES,2
87,LIBELULA,DRAGONFLY,ANIMALES,2
88,LINCE,LYNX,ANIMALES,3
89,LLAMA,LLAMA,ANIMALES,2
90,LOBO,WOLF,ANIMALES,2
91,LOBO MARINO,FUR SEAL,ANIMALES,2
92,LORO,PARROT,ANIMALES,1
93,LUCIERNAGA,FIREFLY,ANIMALES,2
94,MANATI,MANATEE,ANIMALES,3
95,MAPACHE,RACCOON,ANIMALES,2
96,MARIPOSA,BUTTERFLY,ANIMALES,1
97,MARIQUITA,LADYBUG,ANIMALES,2
98,MEDUSA,JELLYFISH,ANIMALES,2
99,MEJILLON,MUSSEL,ANIMALES,3
100,MILPIES,MILLIPEDE,ANIMALES,3
101,MOFETA,SKUNK,ANIMALES,3
102,MONO,MONKEY,ANIMALES,1
103,MORSA,WALRUS,ANIMALES,2
104,MOSCA,FLY,ANIMALES,1
105,MOSQUITO,MOSQUITO,ANIMALES,2
106,MURCIELAGO,BAT,ANIMALES,2
107,NARVAL,NARWHAL,ANIMALES,3
108,NUTRIA,OTTER,ANIMALES,2
109,ORCA,ORCA,ANIMALES,2
110,OSO,BEAR,ANIMALES,1
111,OSO HORMIGUERO,ANTEATER,ANIMALES,3
112,OSO POLAR,POLAR BEAR,ANIMALES,1
113,OSTRA,OYSTER,ANIMALES,2
114,OVEJA,SHEEP,ANIMALES,1
115,PALOMA,PIGEON,ANIMALES,1
116,PANDA,PANDA,ANIMALES,1
117,PATO,DUCK,ANIMALES,1
118,PAVO,TURKEY,ANIMALES,2
119,PAVO REAL,PEACOCK,ANIMALES,1
120,PELICANO,PELICAN,ANIMALES,2
121,PEREZOSO,SLOTH,ANIMALES,2
122,PERICO,PARAKEET,ANIMALES,2
123,PERIQUITO,BUDGIE,ANIMALES,2
124,PERRO,DOG,ANIMALES,1
125,PERRO SALCHICHA,DACHSHUND,ANIMALES,1
126,PEZ,FISH,ANIMALES,1
127,PEZ ESPADA,SWORDFISH,ANIMALES,2
128,PEZ GLOBO,PUFFERFISH,ANIMALES,1
129,PEZ PAYASO,CLOWNFISH,ANIMALES,1
130,PINGUINO,PENGUIN,ANIMALES,1
131,PIRANIA,PIRANHA,ANIMALES,2
132,POLILLA,MOTH,ANIMALES,2
133,PULGA,FLEA,ANIMALES,2
134,PULPO,OCTOPUS,ANIMALES,1
135,PUMA,COUGAR,ANIMALES,2
136,RANA,FROG,ANIMALES,1
137,RATA,RAT,ANIMALES,2
138,RATON,MOUSE,ANIMALES,1
139,RAYA,STINGRAY,ANIMALES,2
140,RENO,REINDEER,ANIMALES,2
141,RINOCERONTE,RHINO,ANIMALES,2
142,SALAMANDRA,SALAMANDER,ANIMALES,3
143,SALMON,SALMON,ANIMALES,2
144,SALTAMONTES,GRASSHOPPER,ANIMALES,2
145,SAPO,TOAD,ANIMALES,1
146,SERPIENTE,SNAKE,ANIMALES,1
147,TIBURON,SHARK,ANIMALES,1
148,TIBURON MARTILLO,HAMMERHEAD SHARK,ANIMALES,2
149,TIGRE,TIGER,ANIMALES,2
150,TOPO,MOLE,ANIMALES,2
151,TORO,BULL,ANIMALES,2
152,TORTUGA,TURTLE,ANIMALES,1
153,TRUCHA,TROUT,ANIMALES,2
154,TUCAN,TOUCAN,ANIMALES,1
155,VACA,COW,ANIMALES,1
156,VIBORA,VIPER,ANIMALES,2
157,ZORRO,FOX,ANIMALES,2
158,ACEITE,OIL,COMIDA,2
159,AJO,GARLIC,COMIDA,1
160,ALMENDRA,ALMOND,COMIDA,1
161,ASADO,BARBECUE,COMIDA,2
162,AZUCAR,SUGAR,COMIDA,2
163,BANANA,BANANA,COMIDA,1
164,BERENJENA,EGGPLANT,COMIDA,2
165,BROCOLI,BROCCOLI,COMIDA,1
166,BURRITO,BURRITO,COMIDA,1
167,CAFE,COFFEE,COMIDA,1
168,CALABAZA,PUMPKIN,COMIDA,1
169,CARAMELO,CANDY,COMIDA,1
170,CASTANA,CHESTNUT,COMIDA,2
171,CEBOLLA,ONION,COMIDA,1
172,CEREZA,CHERRY,COMIDA,1
173,CERVEZA,BEER,COMIDA,1
