# CSV de palabras para Sculpturillo — plantilla de ejemplo.
# Formato por linea:  Palabra,Categoria,Dificultad
# - Palabra: obligatoria.
# - Categoria: opcional (si falta, queda "Personalizadas").
# - Dificultad: opcional. Vale Facil/Media/Dificil (o 1/2/3). Si falta, queda Media.
# - Las lineas que empiezan con # y las vacias se ignoran. La fila de encabezado (Palabra,...) se saltea.
# - Acentos y mayusculas no importan para adivinar (el juego los normaliza).
Palabra,Categoria,Dificultad
Mate,Argentina,Facil
Asado,Argentina,Media
Empanada,Argentina,Facil
Obelisco,Argentina,Dificil
Bandoneon,Argentina,Dificil
Colectivo,Argentina,Media
Guitarra,Musica,Media
Piano,Musica,Media
Trompeta,Musica,Dificil
Tambor,Musica,Facil
