perro,Animales
árbol,Naturaleza
taco,Comida
manzana,FrutasYDulces
casa,Casa
heladera,CocinaYLimpieza
remera,RopaYAccesorios
martillo,Herramientas
auto,Transporte
escuela,Lugares
médico,Profesiones
fútbol,DeportesYJuegos
correr,Acciones
cabeza,CuerpoYSalud
lápiz,EscuelaYCiencia
celular,Tecnologia
guitarra,ArteYFiesta
dragón,FantasiaYAventura
tiburón,MarYCampo
lavarse las manos,VidaCotidiana
elefante,Animales
pasto,Naturaleza
arepa,Comida
pera,FrutasYDulces
edificio,Casa
microondas,CocinaYLimpieza
blusa,RopaYAccesorios
tornillo,Herramientas
camión,Transporte
farmacia,Lugares
dentista,Profesiones
vóley,DeportesYJuegos
caminar,Acciones
ojo,CuerpoYSalud
marcador,EscuelaYCiencia
notebook,Tecnologia
violonchelo,ArteYFiesta
sirena,FantasiaYAventura
ballena,MarYCampo
atarse los cordones,VidaCotidiana
tigre,Animales
raíz,Naturaleza
quesadilla,Comida
limón,FrutasYDulces
ventana,Casa
tostadora,CocinaYLimpieza
campera,RopaYAccesorios
serrucho,Herramientas
ambulancia,Transporte
verdulería,Lugares
policía,Profesiones
rugby,DeportesYJuegos
nadar,Acciones
oreja,CuerpoYSalud
pincel,EscuelaYCiencia
mouse,Tecnologia
teclado musical,ArteYFiesta
fénix,FantasiaYAventura
morsa,MarYCampo
sacar la basura,VidaCotidiana
conejo,Animales
helecho,Naturaleza
ceviche,Comida
piña,FrutasYDulces
patio,Casa
colador,CocinaYLimpieza
chaleco,RopaYAccesorios
tuerca,Herramientas
moto,Transporte
taller mecánico,Lugares
carnicero,Profesiones
judo,DeportesYJuegos
remar,Acciones
ceja,CuerpoYSalud
transportador,EscuelaYCiencia
auriculares,Tecnologia
pandereta,ArteYFiesta
elfo,FantasiaYAventura
caballito de mar,MarYCampo
hacer un asado,VidaCotidiana
murciélago,Animales
tulipán,Naturaleza
locro,Comida
frutilla,FrutasYDulces
living,Casa
espátula,CocinaYLimpieza
bermuda,RopaYAccesorios
lija,Herramientas
patines,Transporte
estación de tren,Lugares
piloto,Profesiones
surf,DeportesYJuegos
saludar,Acciones
cuello,CuerpoYSalud
cartulina,EscuelaYCiencia
control remoto,Tecnologia
trompeta,ArteYFiesta
mago,FantasiaYAventura
erizo de mar,MarYCampo
hacer una fogata,VidaCotidiana
gallina,Animales
montaña,Naturaleza
mofongo,Comida
coco,FrutasYDulces
cama,Casa
molde,CocinaYLimpieza
cinturón,RopaYAccesorios
espátula de albañil,Herramientas
funicular,Transporte
cine,Lugares
jardinero,Profesiones
motocross,DeportesYJuegos
gritar,Acciones
mano,CuerpoYSalud
borrador de pizarrón,EscuelaYCiencia
cargador,Tecnologia
xilófono,ArteYFiesta
momia,FantasiaYAventura
almeja,MarYCampo
saltar la soga,VidaCotidiana
tucán,Animales
cueva,Naturaleza
tequeño,Comida
zanahoria,FrutasYDulces
cortina,Casa
plato,CocinaYLimpieza
botas,RopaYAccesorios
carretilla,Herramientas
dirigible,Transporte
comisaría,Lugares
mecánico,Profesiones
lanzamiento de jabalina,DeportesYJuegos
roncar,Acciones
panza,CuerpoYSalud
ábaco,EscuelaYCiencia
tarjeta de memoria,Tecnologia
bailarina,ArteYFiesta
ninja,FantasiaYAventura
atún,MarYCampo
tirar una moneda,VidaCotidiana
mariposa,Animales
playa,Naturaleza
pizza,Comida
alfajor,FrutasYDulces
maceta,Casa
termo,CocinaYLimpieza
gorra,RopaYAccesorios
manguera,Herramientas
canoa,Transporte
banco,Lugares
barbero,Profesiones
polo,DeportesYJuegos
oler,Acciones
tobillo,CuerpoYSalud
brújula,EscuelaYCiencia
consola de videojuegos,Tecnologia
caballete,ArteYFiesta
castillo,FantasiaYAventura
vaca,MarYCampo
esperar en una fila,VidaCotidiana
libélula,Animales
glaciar,Naturaleza
fideos,Comida
chocolate,FrutasYDulces
perchero,Casa
servilleta,CocinaYLimpieza
paraguas,RopaYAccesorios
tornillo de banco,Herramientas
ferry,Transporte
plaza,Lugares
camarógrafo,Profesiones
bowling,DeportesYJuegos
dibujar,Acciones
pulmón,CuerpoYSalud
péndulo,EscuelaYCiencia
dron,Tecnologia
disfraz,ArteYFiesta
mapa del tesoro,FantasiaYAventura
burro,MarYCampo
cambiar una lamparita,VidaCotidiana
iguana,Animales
terremoto,Naturaleza
albóndigas,Comida
dona,FrutasYDulces
timbre,Casa
lavarropas,CocinaYLimpieza
cartera,RopaYAccesorios
gato hidráulico,Herramientas
carro de supermercado,Transporte
parque acuático,Lugares
recolector de basura,Profesiones
yo-yo,DeportesYJuegos
planchar,Acciones
jeringa,CuerpoYSalud
satélite,EscuelaYCiencia
videollamada,Tecnologia
vela de cumpleaños,ArteYFiesta
caldero,FantasiaYAventura
silo,MarYCampo
buscar las llaves,VidaCotidiana
